hours,attendance,marks
2140,88,84
2141,91,88
2142,100,100
2143,100,97
2144,61,66
2145,52,58
2146,94,100
2147,67,68
2148,89,92
2149,70,76
2150,64,77
2151,82,84
2152,84,90
2153,75,75
2154,57,78
2155,85,88
2156,97,99
2157,79,93
2158,72,76
2159,91,100
2160,93,93
2161,63,75
2162,63,69
2163,51,55
2164,86,92
2165,54,68
2166,87,84
2167,94,95
2168,90,99
2169,96,100
2170,63,70
2171,88,89
2172,74,90
2173,69,69
2174,51,62
2175,88,84
2176,55,72
2177,66,74
2178,74,81
2179,77,97
2180,51,59
2181,84,97
2182,86,88
2183,54,63
2184,50,75
2185,89,92
2186,61,63
2187,85,91
2188,94,96
2189,72,81
2190,96,98
2191,80,96
2192,60,72
2193,59,63
2194,52,64
2195,63,68
2196,65,72
2197,59,64
2198,78,94
2199,59,65
2200,61,74
2201,79,83
2202,90,88
2203,50,63
2204,54,67
2205,69,80
2206,57,54
2207,92,89
2208,61,75
2209,50,57
2210,69,78
2211,77,77
2212,92,99
2213,86,95
2214,96,100
2215,86,96
2216,61,78
2217,86,85
2218,98,96
2219,98,100
2220,93,100
2221,77,80
2222,96,95
2223,64,70
2224,55,58
2225,93,90
2226,69,71
2227,99,99
2228,63,74
2229,51,65
2230,58,66
2231,86,88
2232,69,78
2233,75,74
2234,78,89
2235,50,68
2236,84,86
2237,55,64
2238,86,97
2239,54,64
2240,82,90
2241,98,100
2242,100,100
2243,63,75
2244,61,73
2245,91,98
2246,69,74
2247,99,99
2248,73,84
2249,92,96
2250,83,83
2251,74,91
2252,99,100
2253,78,85
2254,88,91
2255,80,87
2256,96,100
2257,92,86
2258,99,100
2259,72,76
2260,93,96
2261,87,92
2262,69,87
2263,72,79
2264,94,100
2265,65,76
2266,99,97
2267,91,96
2268,57,67
2269,99,96
2270,70,80
2271,50,62
2272,57,71
2273,78,86
2274,81,84
2275,87,96
2276,54,62
2277,96,84
2278,71,80
2279,96,96
2280,83,91
2281,50,72
2282,75,92
2283,92,95
2284,59,65
2285,79,88
2286,99,100
2287,67,78
2288,66,72
2289,75,84
2290,57,64
2291,96,100
2292,89,91
2293,98,100
2294,61,65
2295,76,87
2296,57,63
2297,74,83
2298,95,100
2299,53,64
2300,82,83
2301,50,65
2302,68,73
2303,80,85
2304,65,76
2305,63,80
2306,97,100
2307,54,66
2308,90,98
2309,75,83
2310,77,87
2311,51,69
2312,99,100
2313,55,50
2314,58,65
2315,82,94
2316,90,94
2317,74,80
2318,97,100
2319,62,72
2320,58,59
2321,62,65
2322,80,89
2323,90,94
2324,60,78
2325,53,61
2326,83,88
2327,87,88
2328,95,96
2329,53,56
2330,87,90
2331,68,77
2332,55,66
2333,83,100
2334,67,86
2335,62,69
2336,90,85
2337,72,80
2338,68,79
2339,94,94
2340,60,67
2341,50,71
2342,73,80
2343,56,71
2344,74,77
2345,70,79
2346,64,72
2347,50,60
2348,61,78
2349,56,61
2350,64,76
2351,70,77
2352,68,79
2353,78,84
2354,74,87
2355,82,84
2356,98,100
2357,81,88
2358,98,95
2359,84,94
2360,93,97
2361,87,84
2362,75,85
2363,60,76
2364,84,97
2365,57,67
2366,95,100
2367,63,74
2368,59,78
2369,51,60
2370,95,97
2371,58,65
2372,52,58
2373,70,80
2374,75,91
2375,57,68
2376,97,96
2377,51,65
2378,55,70
2379,77,84
2380,78,93
2381,75,79
2382,74,81
2383,61,74
2384,54,69
2385,83,90
2386,97,95
2387,86,100
2388,64,73
2389,93,98
2390,85,94
2391,64,71
2392,92,97
2393,97,98
2394,72,83
2395,55,66
2396,95,100
2397,99,97
2398,93,94
2399,92,90
2400,94,95
2401,70,67
2402,72,80
2403,92,94
2404,65,76
2405,96,100
2406,64,81
2407,74,96
2408,85,97
2409,60,69
2410,100,100
2411,64,79
2412,53,58
2413,70,78
2414,62,72
2415,71,83
2416,68,81
2417,83,86
2418,63,72
2419,53,68
2420,97,97
2421,95,100
2422,76,88
2423,78,87
2424,96,100
2425,77,83
2426,84,88
2427,57,67
2428,65,78
2429,91,98
2430,85,90
2431,79,91
2432,67,77
2433,51,61
2434,98,100
2435,62,68
2436,53,58
2437,75,84
2438,74,80
2439,79,86
2440,60,67
2441,56,75
2442,80,85
2443,93,96
2444,59,73
2445,88,87
2446,62,66
2447,80,90
2448,56,67
2449,98,98
2450,91,100
2451,91,93
2452,85,91
2453,69,75
2454,53,68
2455,56,76
2456,50,55
2457,93,99
2458,94,100
2459,91,95
2460,96,95
2461,62,76
2462,71,86
2463,70,85
2464,71,83
2465,77,86
2466,58,66
2467,75,88
2468,58,75
2469,64,70
2470,59,73
2471,73,86
2472,91,100
2473,57,69
2474,73,78
2475,65,74
2476,98,98
2477,75,84
2478,76,84
2479,86,100
2480,53,71
2481,99,100
2482,73,85
2483,68,77
2484,85,91
2485,88,94
2486,59,73
2487,74,86
2488,67,78
2489,68,77
2490,85,89
2491,59,65
2492,82,96
2493,99,100
2494,54,74
2495,96,95
2496,98,100
2497,84,97
2498,93,97
2499,83,93
2500,82,88
2501,70,88
2502,66,79
2503,71,77
2504,97,100
2505,86,99
2506,64,77
2507,84,94
2508,77,86
2509,56,64
2510,81,89
2511,60,75
2512,59,71
2513,58,75
2514,63,73
2515,62,73
2516,74,88
2517,51,67
2518,84,90
2519,56,75
2520,70,77
2521,67,75
2522,52,52
2523,91,95
2524,88,100
2525,90,86
2526,98,98
2527,60,75
2528,88,84
2529,73,81
2530,95,100
2531,68,89
2532,53,69
2533,75,80
2534,87,90
2535,91,98
2536,81,91
2537,88,100
2538,94,100
2539,95,100
2540,85,91
2541,89,100
2542,86,97
2543,82,87
2544,85,92
2545,52,62
2546,58,59
2547,57,72
2548,82,99
2549,55,61
2550,90,97
2551,88,92
2552,53,70
2553,62,74
2554,98,97
2555,51,61
2556,54,64
2557,93,100
2558,76,92
2559,81,88
2560,70,87
2561,57,70
2562,87,93
2563,57,71
2564,99,100
2565,52,64
2566,93,100
2567,52,71
2568,71,83
2569,55,69
2570,51,68
2571,72,86
2572,93,99
2573,51,64
2574,87,96
2575,66,70
2576,84,91
2577,83,79
2578,72,75
2579,79,79
2580,57,76
2581,71,82
2582,93,93
2583,85,96
2584,54,73
2585,62,77
2586,78,87
2587,80,91
2588,96,100
2589,65,75
2590,91,98
2591,79,87
2592,65,69
2593,61,79
2594,66,89
2595,65,73
2596,61,79
2597,57,67
2598,69,81
2599,52,75
2600,65,75
2601,79,89
2602,94,92
2603,72,80
2604,77,78
2605,100,100
2606,89,100
2607,54,68
2608,69,82
2609,89,95
2610,93,100
2611,50,66
2612,79,79
2613,70,86
2614,69,79
2615,55,63
2616,71,80
2617,67,70
2618,57,65
2619,88,97
2620,81,92
2621,82,93
2622,65,78
2623,61,71
2624,87,95
2625,83,90
2626,63,68
2627,85,90
2628,82,96
2629,72,91
2630,99,100
2631,94,100
2632,51,67
2633,90,100
2634,70,92
2635,51,58
2636,76,88
2637,58,73
2638,50,64
2639,60,76
2640,52,68
2641,72,80
2642,75,86
2643,53,74
2644,67,80
2645,55,73
2646,84,92
2647,71,85
2648,92,94
2649,64,75
2650,71,82
2651,86,88
2652,91,95
2653,61,76
2654,96,100
2655,98,100
2656,91,96
2657,87,96
2658,67,76
2659,94,100
2660,84,99
2661,79,92
2662,73,90
2663,91,99
2664,79,93
2665,63,77
2666,55,65
2667,52,69
2668,65,73
2669,56,83
2670,63,75
2671,58,76
2672,64,77
2673,70,76
2674,84,84
2675,51,71
2676,76,95
2677,51,63
2678,84,85
2679,67,78
2680,63,72
2681,69,78
2682,67,83
2683,59,73
2684,74,81
2685,51,70
2686,74,89
2687,82,90
2688,85,95
2689,80,93
2690,63,79
2691,50,67
2692,95,100
2693,65,81
2694,95,100
2695,52,66
2696,84,91
2697,90,100
2698,55,67
2699,74,84
2700,62,81
2701,83,94
2702,57,78
2703,70,87
2704,83,87
2705,53,68
2706,74,91
2707,64,72
2708,53,71
2709,94,100
2710,61,67
2711,81,92
2712,81,87
2713,77,82
2714,62,76
2715,80,81
2716,63,74
2717,69,95
2718,67,84
2719,78,85
2720,55,78
2721,81,87
2722,78,86
2723,92,95
2724,51,69
2725,72,91
2726,68,76
2727,80,80
2728,100,100
2729,54,78
2730,68,71
2731,83,96
2732,59,75
2733,74,82
2734,51,61
2735,60,80
2736,99,100
2737,80,92
2738,64,75
2739,58,69
2740,72,72
2741,68,80
2742,58,81
2743,84,90
2744,70,75
2745,58,76
2746,77,92
2747,95,100
2748,100,100
2749,56,73
2750,65,78
2751,65,84
2752,82,100
2753,53,61
2754,53,76
2755,88,98
2756,89,100
2757,66,83
2758,86,96
2759,88,100
2760,78,88
2761,85,91
2762,87,100
2763,88,93
2764,99,100
2765,86,96
2766,84,83
2767,56,69
2768,76,90
2769,77,87
2770,71,71
2771,63,84
2772,56,73
2773,86,98
2774,71,82
2775,54,73
2776,51,77
2777,76,84
2778,70,92
2779,87,99
2780,64,74
2781,70,94
2782,59,76
2783,72,88
2784,88,96
2785,54,67
2786,50,68
2787,62,85
2788,70,82
2789,75,87
2790,99,100
2791,94,100
2792,70,86
2793,67,85
2794,86,95
2795,94,100
2796,81,96
2797,85,93
2798,66,84
2799,84,92
2800,98,100
2801,60,68
2802,70,81
2803,75,83
2804,53,68
2805,83,97
2806,97,97
2807,67,71
2808,89,95
2809,84,97
2810,90,100
2811,78,86
2812,78,96
2813,87,94
2814,91,100
2815,70,82
2816,91,96
2817,62,74
2818,98,100
2819,90,100
2820,66,85
2821,58,76
2822,90,92
2823,50,78
2824,51,70
2825,97,100
2826,78,88
2827,82,99
2828,59,70
2829,99,100
2830,89,89
2831,70,87
2832,77,84
2833,60,77
2834,83,100
2835,57,78
2836,71,91
2837,57,79
2838,98,100
2839,64,82
2840,66,72
2841,72,82
2842,73,93
2843,94,100
2844,68,73
2845,54,81
2846,81,96
2847,93,100
2848,50,63
2849,72,87
2850,86,98
2851,57,70
2852,62,77
2853,57,66
2854,72,84
2855,92,100
2856,50,64
2857,94,100
2858,100,100
2859,73,85
2860,84,92
2861,73,86
2862,66,88
2863,54,66
2864,69,81
2865,70,87
2866,89,100
2867,80,93
2868,95,99
2869,85,96
2870,60,82
2871,64,71
2872,68,79
2873,56,64
2874,100,100
2875,77,96
2876,100,100
2877,92,97
2878,54,67
2879,54,70
2880,79,90
2881,81,98
2882,57,71
2883,59,78
2884,87,96
2885,96,100
2886,81,92
2887,97,100
2888,77,95
2889,66,80
2890,80,86
2891,57,79
2892,89,95
2893,74,89
2894,58,75
2895,51,68
2896,64,77
2897,99,100
2898,52,52
2899,98,100
2900,85,92
2901,53,73
2902,63,81
2903,90,100
2904,90,100
2905,74,84
2906,99,100
2907,59,74
2908,70,75
2909,85,93
2910,61,76
2911,76,86
2912,89,100
2913,51,68
2914,62,77
2915,81,81
2916,80,86
2917,65,84
2918,81,98
2919,81,84
2920,83,91
2921,60,82
2922,59,72
2923,64,79
2924,66,89
2925,89,98
2926,67,80
2927,58,74
2928,74,97
2929,89,100
2930,63,79
2931,74,85
2932,99,100
2933,71,89
2934,79,87
2935,69,87
2936,70,84
2937,93,100
2938,81,89
2939,100,100
2940,95,100
2941,98,100
2942,70,87
2943,84,94
2944,81,87
2945,79,100
2946,88,94
2947,98,100
2948,61,70
2949,90,100
2950,96,100
2951,67,79
2952,70,86
2953,62,79
2954,70,81
2955,57,70
2956,95,97
2957,89,100
2958,95,99
2959,56,74
2960,72,90
2961,93,100
2962,81,90
2963,60,82
2964,71,84
2965,71,79
2966,92,100
2967,74,91
2968,71,83
2969,77,95
2970,78,88
2971,62,76
2972,67,78
2973,51,73
2974,78,91
2975,70,80
2976,64,78
2977,76,75
2978,99,100
2979,80,92
2980,64,68
2981,100,100
2982,72,85
2983,73,81
2984,93,100
2985,62,81
2986,71,88
2987,92,90
2988,86,96
2989,82,92
2990,52,66
2991,68,82
2992,72,81
2993,78,93
2994,79,96
2995,88,100
2996,93,100
2997,96,100
2998,74,94
2999,86,98
3000,96,100
3001,57,82
3002,91,100
3003,65,74
3004,57,81
3005,50,69
3006,93,100
3007,54,63
3008,52,70
3009,50,70
3010,53,80
3011,89,100
3012,84,94
3013,81,96
3014,91,100
3015,83,96
3016,92,100
3017,74,86
3018,59,79
3019,70,88
3020,95,100
3021,88,87
3022,76,84
3023,76,94
3024,51,60
3025,90,100
3026,97,100
3027,62,80
3028,58,79
3029,85,100
3030,71,86
3031,91,96
3032,75,95
3033,61,86
3034,66,77
3035,63,73
3036,63,80
3037,83,93
3038,69,86
3039,60,84
3040,65,71
3041,100,100
3042,80,92
3043,55,76
3044,68,87
3045,86,100
3046,53,73
3047,96,100
3048,53,74
3049,69,82
3050,59,68
3051,73,82
3052,84,97
3053,75,86
3054,86,95
3055,87,100
3056,70,90
3057,89,100
3058,88,100
3059,70,84
3060,59,78
3061,87,100
3062,95,100
3063,53,69
3064,94,100
3065,69,88
3066,66,72
3067,56,72
3068,53,69
3069,78,89
3070,63,85
3071,52,72
3072,73,82
3073,86,97
3074,65,85
3075,53,72
3076,73,85
3077,83,98
3078,79,100
3079,67,86
3080,68,91
3081,80,91
3082,68,85
3083,98,100
3084,95,100
3085,68,87
3086,71,83
3087,73,92
3088,94,97
3089,61,73
3090,79,100
3091,87,97
3092,80,98
3093,85,100
3094,68,73
3095,97,100
3096,94,100
3097,85,100
3098,79,88
3099,98,100
3100,82,92
3101,67,89
3102,98,100
3103,77,96
3104,96,100
3105,60,69
3106,94,90
3107,82,97
3108,66,82
3109,55,77
3110,53,72
3111,69,96
3112,97,100
3113,96,100
3114,76,93
3115,64,80
3116,55,75
3117,96,100
3118,63,81
3119,60,76
3120,88,95
3121,58,87
3122,75,85
3123,65,83
3124,54,70
3125,59,79
3126,99,100
3127,52,77
3128,62,91
3129,92,100
3130,98,100
3131,79,92
3132,94,100
3133,55,86
3134,66,82
3135,94,98
3136,100,100
3137,68,86
3138,91,100
3139,84,96
3140,95,100
3141,75,97
3142,100,100
3143,54,67
3144,78,97
3145,86,100
3146,69,85
3147,98,100
3148,70,84
3149,59,77
3150,54,78
3151,85,99
3152,55,68
3153,75,92
3154,53,71
3155,88,100
3156,88,100
3157,99,100
3158,84,93
3159,50,70
3160,73,94
3161,85,95
3162,55,75
3163,90,98
3164,95,100
3165,93,100
3166,80,96
3167,69,96
3168,73,87
3169,74,90
3170,85,93
3171,70,90
3172,79,96
3173,73,97
3174,93,100
3175,91,100
3176,79,92
3177,71,89
3178,77,92
3179,56,81
3180,84,100
3181,77,91
3182,63,74
3183,59,85
3184,65,86
3185,65,82
3186,80,98
3187,91,100
3188,74,97
3189,62,71
3190,55,73
3191,93,100
3192,58,81
3193,94,100
3194,85,93
3195,92,100
3196,69,92
3197,67,77
3198,92,100
3199,70,87
3200,53,66
3201,99,100
3202,82,100
3203,76,90
3204,56,78
3205,55,77
3206,64,83
3207,67,82
3208,81,100
3209,60,72
3210,69,87
3211,73,97
3212,64,81
3213,97,100
3214,56,80
3215,70,88
3216,91,100
3217,75,92
3218,93,94
3219,63,88
3220,86,100
3221,70,94
3222,67,68
3223,54,77
3224,52,71
3225,72,84
3226,75,92
3227,86,100
3228,73,93
3229,98,100
3230,68,81
3231,100,100
3232,74,87
3233,70,79
3234,61,74
3235,90,100
3236,82,100
3237,99,100
3238,53,70
3239,91,99
3240,56,77
3241,71,95
3242,82,100
3243,66,86
3244,73,91
3245,83,96
3246,77,92
3247,92,100
3248,90,100
3249,88,100
3250,71,89
3251,98,100
3252,66,84
3253,83,88
3254,55,79
3255,95,100
3256,55,73
3257,83,100
3258,50,76
3259,59,86
3260,70,87
3261,54,66
3262,51,74
3263,71,90
3264,97,100
3265,51,72
3266,59,80
3267,83,100
3268,65,86
3269,97,100
3270,100,100
3271,88,100
3272,71,92
3273,61,78
3274,73,91
3275,96,100
3276,89,100
3277,87,100
3278,59,74
3279,84,98
3280,100,100
3281,98,100
3282,81,92
3283,56,78
3284,70,90
3285,69,87
3286,75,90
3287,53,73
3288,95,100
3289,71,90
3290,64,82
3291,89,100
3292,70,98
3293,64,77
3294,71,92
3295,77,100
3296,63,84
3297,76,94
3298,90,100
3299,89,100
3300,77,98
3301,75,86
3302,98,100
3303,51,62
3304,74,91
3305,52,70
3306,57,80
3307,93,99
3308,82,96
3309,91,100
3310,84,96
3311,55,67
3312,88,100
3313,72,87
3314,74,91
3315,99,100
3316,92,100
3317,68,79
3318,54,90
3319,100,100
3320,60,82
3321,61,79
3322,59,77
3323,57,74
3324,73,94
3325,77,87
3326,90,100
3327,85,90
3328,86,100
3329,70,93
3330,57,72
3331,58,83
3332,96,100
3333,64,92
3334,97,100
3335,95,100
3336,89,92
3337,67,85
3338,91,97
3339,69,97
3340,55,76
3341,61,81
3342,51,76
3343,56,78
3344,65,82
3345,52,68
3346,94,100
3347,52,76
3348,76,97
3349,99,100
3350,92,96
3351,89,100
3352,87,100
3353,82,98
3354,77,83
3355,50,67
3356,57,80
3357,86,100
3358,81,100
3359,97,100
3360,92,100
3361,86,97
3362,53,77
3363,79,97
3364,55,73
3365,95,100
3366,68,79
3367,81,97
3368,58,75
3369,61,91
3370,60,84
3371,95,100
3372,65,84
3373,50,83
3374,94,100
3375,70,80
3376,79,98
3377,62,84
3378,83,100
3379,53,79
3380,77,100
3381,87,94
3382,80,91
3383,76,97
3384,54,71
3385,74,85
3386,52,84
3387,82,91
3388,53,74
3389,74,92
3390,69,95
3391,83,90
3392,75,95
3393,54,72
3394,84,100
3395,77,91
3396,78,100
3397,58,75
3398,87,91
3399,99,100
3400,55,76
3401,68,93
3402,93,100
3403,60,75
3404,51,79
3405,96,100
3406,93,100
3407,93,100
3408,58,81
3409,70,86
3410,73,87
3411,83,100
3412,71,86
3413,52,68
3414,61,89
3415,77,98
3416,79,100
3417,75,98
3418,97,100
3419,70,90
3420,77,90
3421,75,85
3422,82,97
3423,70,95
3424,84,100
3425,83,93
3426,90,100
3427,100,100
3428,96,100
3429,67,91
3430,60,81
3431,72,84
3432,97,100
3433,71,96
3434,66,85
3435,54,83
3436,93,100
3437,60,87
3438,79,94
3439,64,73
3440,76,96
3441,84,100
3442,82,99
3443,69,79
3444,65,83
3445,83,99
3446,51,69
3447,84,88
3448,89,100
3449,77,92
3450,96,100
3451,88,100
3452,55,80
3453,58,80
3454,69,90
3455,50,66
3456,57,74
3457,72,97
3458,52,77
3459,53,74
3460,74,96
3461,96,100
3462,87,100
3463,64,86
3464,70,85
3465,84,100
3466,95,100
3467,63,90
3468,85,94
3469,61,84
3470,66,83
3471,88,100
3472,58,85
3473,84,100
3474,62,80
3475,64,85
3476,67,85
3477,100,100
3478,82,100
3479,55,74
3480,76,100
3481,72,99
3482,76,100
3483,83,100
3484,95,100
3485,87,100
3486,63,84
3487,85,100
3488,57,78
3489,84,100
3490,68,89
3491,79,100
3492,63,88
3493,69,84
3494,98,100
3495,74,87
3496,89,100
3497,73,94
3498,63,82
3499,75,98
3500,87,100
3501,72,93
3502,71,92
3503,97,100
3504,68,84
3505,95,100
3506,100,100
3507,52,69
3508,91,100
3509,68,100
3510,58,85
3511,77,99
3512,69,94
3513,94,100
3514,56,81
3515,63,85
3516,58,90
3517,68,89
3518,96,100
3519,63,79
3520,87,100
3521,85,100
3522,89,100
3523,66,90
3524,79,99
3525,58,86
3526,82,100
3527,74,94
3528,63,80
3529,60,79
3530,84,100
3531,90,100
3532,63,94
3533,79,100
3534,90,100
3535,53,82
3536,53,71
3537,77,98
3538,57,74
3539,51,74
3540,90,100
3541,95,100
3542,71,95
3543,90,99
3544,65,93
3545,78,94
3546,98,100
3547,97,100
3548,79,95
3549,61,74
3550,84,99
3551,60,89
3552,95,100
3553,99,100
3554,70,92
3555,70,92
3556,54,88
3557,97,100
3558,69,92
3559,86,100
3560,52,76
3561,93,100
3562,82,100
3563,58,73
3564,58,86
3565,53,77
3566,84,100
3567,66,85
3568,83,100
3569,73,93
3570,81,98
3571,50,72
3572,57,71
3573,94,100
3574,72,90
3575,96,100
3576,89,100
3577,61,81
3578,61,79
3579,95,100
3580,96,100
3581,64,89
3582,90,100
3583,68,94
3584,75,100
3585,78,96
3586,71,100
3587,89,100
3588,70,92
3589,100,100
3590,87,100
3591,69,79
3592,78,98
3593,100,100
3594,53,71
3595,56,84
3596,77,99
3597,77,100
3598,53,74
3599,71,97
3600,61,85
3601,94,100
3602,52,91
3603,71,100
3604,93,100
3605,51,88
3606,73,97
3607,83,97
3608,76,96
3609,90,100
3610,50,80
3611,57,76
3612,72,88
3613,87,100
3614,55,82
3615,71,96
3616,74,96
3617,67,85
3618,66,97
3619,61,79
3620,55,86
3621,75,99
3622,76,100
3623,57,79
3624,68,89
3625,91,100
3626,50,73
3627,78,99
3628,94,100
3629,98,100
3630,84,100
3631,89,100
3632,63,86
3633,84,100
3634,97,100
3635,94,100
3636,69,93
3637,98,100
3638,62,87
3639,87,100
3640,98,100
3641,95,100
3642,98,100
3643,57,85
3644,92,100
3645,69,94
3646,82,96
3647,75,97
3648,88,100
3649,70,95
3650,98,100
3651,91,100
3652,92,100
3653,90,100
3654,58,84
3655,73,90
3656,86,100
3657,98,100
3658,90,100
3659,66,85
3660,73,96
3661,70,84
3662,100,100
3663,88,100
3664,90,100
3665,88,100
3666,62,80
3667,60,83
3668,95,100
3669,68,95
3670,60,91
3671,62,79
3672,95,100
3673,94,100
3674,50,75
3675,89,100
3676,93,100
3677,68,86
3678,61,89
3679,57,76
3680,57,76
3681,94,100
3682,61,85
3683,97,100
3684,82,100
3685,94,100
3686,75,96
3687,88,100
3688,77,100
3689,54,78
3690,57,75
3691,74,100
3692,76,100
3693,95,100
3694,72,91
3695,79,96
3696,94,100
3697,96,100
3698,72,91
3699,98,100
3700,96,100
3701,69,84
3702,67,88
3703,67,82
3704,51,78
3705,53,69
3706,79,100
3707,82,96
3708,85,96
3709,67,88
3710,86,100
3711,68,95
3712,96,100
3713,77,92
3714,89,100
3715,69,100
3716,98,100
3717,82,98
3718,61,93
3719,100,100
3720,64,93
3721,90,100
3722,88,100
3723,51,84
3724,78,98
3725,90,100
3726,59,86
3727,51,72
3728,100,100
3729,60,90
3730,62,90
3731,59,84
3732,63,78
3733,67,81
3734,100,100
3735,58,81
3736,88,100
3737,77,91
3738,52,84
3739,69,86
3740,55,74
3741,76,98
3742,51,83
3743,78,100
3744,87,100
3745,52,86
3746,65,83
3747,79,100
3748,89,99
3749,51,75
3750,66,93
3751,90,100
3752,61,81
3753,84,99
3754,92,100
3755,50,84
3756,94,100
3757,64,86
3758,75,83
3759,86,100
3760,70,97
3761,98,100
3762,80,100
3763,74,97
3764,72,100
3765,73,92
3766,87,100
3767,77,96
3768,70,100
3769,92,100
3770,67,91
3771,85,100
3772,84,93
3773,94,100
3774,58,78
3775,87,100
3776,79,95
3777,93,100
3778,83,100
3779,81,100
3780,52,77
3781,52,81
3782,77,100
3783,93,100
3784,64,87
3785,90,100
3786,72,100
3787,89,100
3788,60,81
3789,97,100
3790,81,97
3791,85,96
3792,82,100
3793,73,85
3794,88,100
3795,83,100
3796,77,100
3797,86,100
3798,56,77
3799,53,82
3800,86,100
3801,50,79
3802,50,78
3803,96,100
3804,69,90
3805,68,100
3806,78,100
3807,59,83
3808,67,93
3809,77,95
3810,84,100
3811,92,100
3812,96,100
3813,80,100
3814,76,96
3815,60,80
3816,98,100
3817,98,100
3818,87,100
3819,54,85
3820,57,88
3821,83,100
3822,97,100
3823,61,90
3824,87,100
3825,50,76
3826,80,94
3827,53,84
3828,98,100
3829,94,100
3830,99,100
3831,54,83
3832,79,100
3833,73,92
3834,52,75
3835,60,82
3836,94,100
3837,53,76
3838,75,94
3839,76,100
3840,95,100
3841,92,100
3842,76,96
3843,91,100
3844,100,100
3845,99,100
3846,55,86
3847,64,96
3848,79,98
3849,91,100
3850,86,100
3851,86,100
3852,91,100
3853,86,100
3854,84,100
3855,72,95
3856,55,90
3857,53,76
3858,67,100
3859,58,84
3860,98,100
3861,78,100
3862,62,90
3863,96,100
3864,66,89
3865,94,100
3866,81,100
3867,97,100
3868,71,87
3869,53,78
3870,54,87
3871,86,100
3872,90,100
3873,98,100
3874,62,87
3875,83,100
3876,94,100
3877,71,93
3878,72,100
3879,100,100
3880,52,89
3881,91,100
3882,83,100
3883,81,100
3884,94,100
3885,100,100
3886,98,100
3887,70,94
3888,95,100
3889,93,100
3890,70,99
3891,93,100
3892,60,85
3893,88,100
3894,53,71
3895,100,100
3896,50,88
3897,77,100
3898,73,94
3899,84,100
3900,62,91
3901,96,100
3902,83,98
3903,60,77
3904,85,100
3905,100,100
3906,66,91
3907,84,100
3908,67,90
3909,89,100
3910,71,92
3911,73,99
3912,68,94
3913,86,100
3914,88,100
3915,70,95
3916,57,86
3917,77,99
3918,54,75
3919,66,98
3920,86,100
3921,85,100
3922,68,95
3923,76,100
3924,83,100
3925,60,87
3926,94,100
3927,96,100
3928,61,96
3929,70,100
3930,60,82
3931,88,100
3932,77,98
3933,54,73
3934,66,93
3935,69,90
3936,90,100
3937,95,100
3938,61,92
3939,55,87
3940,66,88
3941,100,100
3942,68,94
3943,75,100
3944,97,100
3945,93,100
3946,93,100
3947,81,100
3948,55,86
3949,85,100
3950,87,100
3951,60,92
3952,82,100
3953,73,100
3954,72,96
3955,64,89
3956,76,100
3957,60,88
3958,100,100
3959,99,100
3960,66,88
3961,100,100
3962,63,81
3963,76,99
3964,67,88
3965,77,89
3966,100,100
3967,96,100
3968,96,100
3969,53,78
3970,56,93
3971,94,100
3972,84,100
3973,97,100
3974,58,93
3975,57,90
3976,94,100
3977,66,87
3978,66,88
3979,98,100
3980,82,100
3981,81,100
3982,57,89
3983,68,98
3984,87,100
3985,52,73
3986,54,77
3987,62,86
3988,96,100
3989,95,100
3990,80,98
3991,65,94
3992,99,100
3993,81,100
3994,71,96
3995,78,100
3996,71,91
3997,92,100
3998,52,79
3999,59,86
4000,91,100
4001,70,94
4002,65,90
4003,61,78
4004,51,85
4005,90,100
4006,73,99
4007,84,100
4008,79,98
4009,79,100
4010,96,100
4011,84,100
4012,68,98
4013,99,100
4014,57,89
4015,75,100
4016,98,100
4017,89,100
4018,56,85
4019,79,100
4020,56,83
4021,52,77
4022,50,81
4023,85,100
4024,74,100
4025,86,100
4026,50,86
4027,64,93
4028,86,100
4029,62,81
4030,89,100
4031,57,80
4032,54,86
4033,58,90
4034,50,81
4035,85,100
4036,84,100
4037,51,79
4038,89,100
4039,72,98
4040,58,87
4041,83,100
4042,95,100
4043,63,97
4044,53,74
4045,79,98
4046,80,100
4047,87,100
4048,60,100
4049,84,100
4050,57,94
4051,52,72
4052,63,83
4053,62,94
4054,94,100
4055,81,100
4056,83,100
4057,94,100
4058,68,95
4059,87,100
4060,65,93
4061,51,84
4062,89,100
4063,66,95
4064,83,100
4065,91,100
4066,65,93
4067,87,100
4068,51,84
4069,51,85
4070,75,95
4071,62,87
4072,96,100
4073,80,100
4074,83,98
4075,88,94
4076,52,88
4077,57,78
4078,72,100
4079,63,94
4080,76,99
4081,78,100
4082,88,100
4083,88,100
4084,50,80
4085,66,88
4086,90,100
4087,79,100
4088,62,89
4089,70,96
4090,68,95
4091,68,100
4092,74,98
4093,71,100
4094,80,100
4095,66,100
4096,72,96
4097,81,100
4098,59,87
4099,59,73
4100,85,100
4101,57,89
4102,69,98
4103,81,99
4104,99,100
4105,63,93
4106,99,100
4107,77,100
4108,95,100
4109,73,99
4110,64,89
4111,71,100
4112,79,100
4113,53,76
4114,62,91
4115,72,92
4116,57,81
4117,67,91
4118,61,90
4119,80,100
4120,63,89
4121,83,100
4122,67,92
4123,83,100
4124,60,74
4125,90,100
4126,61,97
4127,98,100
4128,64,98
4129,80,95
4130,98,100
4131,78,100
4132,75,100
4133,67,89
4134,81,100
4135,71,100
4136,87,100
4137,66,96
